,descrip,img_src,path_name,article_context
0,"प्रेग्नेंसी के पहले और बाद दोनों ही स्थिति में महिलाओं की सेहत का बहुत ध्यान रखा जाता है. प्रेग्नेंसी के दौरान जहां दूध-फल और प्रोटीन ज्यादा लेने कर की सलाह दी जाती है तो वहीं डिलीवरी के बाद खाने में ठोस आहार को प्राथमिकता दी जाती है. गाय का शुद्ध देशी घी स्वास्थ्य के लिए काफी फायदेमंद होता है. गाय का घी स्वास्थ्य के लिए फायदेमंद होने के कारण अधिकतर डॉक्टर डिलीवरी के बाद महिलाओं को इसका सेवन करने की हिदायत देते हैं.


",https://smedia2.intoday.in/aajtak/images/Photo_gallery/092016/intro_090216045253.jpg,img_lifestyle/img_35567.jpg,"जानें, प्रेग्नेंसी के बाद घी खाना क्यों है जरूरी..."
1,"क्यों होता है घी फायदेमंद?
घी में वेजिटेबल ऑयल की तुलना में अधिक पोषक तत्व होते हैं. इस कारण रोजाना घी का एक बार सेवन करना जरूरी है. ऑलिव ऑयल के बाद घी ही स्वास्थ्य के लिए काफी फायदेमंद होता है लेकिन घी का अधिक उपयोग भी स्वास्थ्य के लिए हानिकारक होता है.

",https://smedia2.intoday.in/aajtak/images/Photo_gallery/092016/2_090216045253.jpg,img_lifestyle/img_35568.jpg,"जानें, प्रेग्नेंसी के बाद घी खाना क्यों है जरूरी..."
2,"ज्यादा कैलोरी वाला खाना खाने से बचें
डिलीवरी के बाद महिलाओं को अधिक कैलोरी वाला भोजन नहीं करना चाहिए. खासकर अधिक तैलीय पदार्थों का तो सेवन बिल्कुल भी नहीं करना चाहिए, लेकिन प्रसव के बाद महिलाओं को स्वास्थ्य के लिए अच्छा भोजन करने की भी जरूरत होती है. ऐसे में डॉक्टर घी से बनी चीजों का सेवन करने की हिदायत देते हैं.

",https://smedia2.intoday.in/aajtak/images/Photo_gallery/092016/3_090216045253.jpg,img_lifestyle/img_35569.jpg,"जानें, प्रेग्नेंसी के बाद घी खाना क्यों है जरूरी..."
3,"घी खाने के फायदे...
1. डिलीवरी के बाद महिलाओं के जोड़ों में चिकनाई की कमी हो जाती है. इसलिए कैल्शियम युक्त भोजन का सेवन करना चाहिए. घी में बने इन खाद्य पदार्थों से अधिक मात्रा में पोषक तत्व प्राप्त होते हैं.

",https://smedia2.intoday.in/aajtak/images/Photo_gallery/092016/4_090216045253.jpg,img_lifestyle/img_35570.jpg,"जानें, प्रेग्नेंसी के बाद घी खाना क्यों है जरूरी..."
4,"2. महिलाएं माइग्रेन की मरीज हैं वो डिलीवरी के बाद घी का इस्तेमाल जरूर करें.

",https://smedia2.intoday.in/aajtak/images/Photo_gallery/092016/5_090216045253.jpg,img_lifestyle/img_35571.jpg,"जानें, प्रेग्नेंसी के बाद घी खाना क्यों है जरूरी..."
5,3. डिलीवरी के बाद होने वाली कमजोरी से बचने के लिए भी घी खाना फायदेमंद रहता है.,https://smedia2.intoday.in/aajtak/images/Photo_gallery/092016/6_090216045253.jpg,img_lifestyle/img_35572.jpg,"जानें, प्रेग्नेंसी के बाद घी खाना क्यों है जरूरी..."
6,4. घी खाने से जोड़ों के दर्द में राहत मिलती है और यह शरीर में ताकत देने के साथ ही मां के दूध के जरिए बच्चों को भी पोषक तत्व देने का काम करता है. ,https://smedia2.intoday.in/aajtak/images/Photo_gallery/092016/thumb_090216045253.jpg,img_lifestyle/img_35573.jpg,"जानें, प्रेग्नेंसी के बाद घी खाना क्यों है जरूरी..."
7,क्यूट  आलिया भट्ट ने हाल ही में एक फैशन मैगजीन के लिए फोटोशूट करवाया हैं. शूट का कलर थीम रहा ब्लू और इसमें उनकी अध‍िकतर ड्रेसेज डेनिम में हैं. Pictures- Instagram,https://smedia2.intoday.in/aajtak/images/Photo_gallery/022017/thumb_020217123719.jpg,img_lifestyle/img_35574.jpg,"डेनिम कैसे पहनें, स्टाइल का ज्ञान आलिया भट्ट से लें..."
8,RED Valentino के इस आउटफिट में आलिया हॉट लग रही है. उन्होंने हाफ स्लीव्स शर्ट के साथ बेल बॉटम्स कैरी किए हैं. ,https://smedia2.intoday.in/aajtak/images/Photo_gallery/022017/8_020217123719.jpg,img_lifestyle/img_35575.jpg,"डेनिम कैसे पहनें, स्टाइल का ज्ञान आलिया भट्ट से लें..."
9,"इस तस्वीर में  आलिया ने Dolce and Gabbana, Victoria Beckham and Osman का कॉम्बिनेशन पहना है. ",https://smedia2.intoday.in/aajtak/images/Photo_gallery/022017/2_020217123719.jpg,img_lifestyle/img_35576.jpg,"डेनिम कैसे पहनें, स्टाइल का ज्ञान आलिया भट्ट से लें..."
